2021-07-22 21:17:50.019181 [guppy/message] ONT Guppy basecalling software version 5.0.11+2b6dbff, client-server API version 7.0.0
config file:        /opt/ont/guppy/data/dna_r9.4.1_450bps_hac.cfg
input path:         /data/zymo_test_data_1000/2
save path:          /data/zymo_test_data_1000/2/basecalling
chunk size:         2000
minimum qscore:     9
records per file:   4000
fastq compression:  ON

2021-07-22 21:17:50.019393 [guppy/info] crashpad_handler successfully launched.
2021-07-22 21:17:50.020932 [guppy/info] Connecting to server as 'guppy_basecall_client'
2021-07-22 21:17:50.109609 [guppy/info] Read '07cf7e3f-815a-4519-977c-c16d2f94095e' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.109650 [guppy/info] Read '07d85072-3e66-4465-b80d-6834f80a8064' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.110741 [guppy/info] Read '07e1131a-132f-474b-a3a4-f22393a85857' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.110768 [guppy/info] Read '0834571d-3bfa-43c0-b0a4-f6291501d8c6' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.111858 [guppy/info] Read '08ba831c-be6c-4c73-8e7a-721803952b30' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.116152 [guppy/info] Read '09380e75-79fc-49fe-af5f-4c91b609c2a3' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.116176 [guppy/info] Read '093c5e4e-d8e9-4bc5-89a1-4b478879f8de' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.117266 [guppy/info] Read '095a4bf6-f773-4d33-b5f3-c9b2022cc817' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.118360 [guppy/info] Read '096f1f7f-fba8-4d7f-9d52-a63819ba4fb7' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.119461 [guppy/info] Read '09ce8815-1ace-4a45-864e-95be84f91d6f' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.121619 [guppy/info] Read '0a102a09-7819-4f97-83b5-4d963375612f' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.122716 [guppy/info] Read '0a789e6f-f237-48d3-830f-8959c4f47591' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.123879 [guppy/info] Read '0a7b54e7-ecde-4c52-bc27-97792972349c' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.123929 [guppy/info] Read '0b4d4fe7-070f-4651-9322-0fd7d3d1d5b9' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.125134 [guppy/info] Read '0b6259b3-ece7-439f-91b1-2af2ab9e0c57' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.125210 [guppy/info] Read '0bda3341-3479-447a-be38-6d870c7c1e72' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.127436 [guppy/info] Read '0bf41cb5-e0ba-4cc1-b707-66e5d429f7b2' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.131912 [guppy/info] Read '0c3359c9-6b7d-49bd-9734-4c901993c7cd' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.131968 [guppy/info] Read '0c87234f-cc79-40de-890b-af0776d95837' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.133109 [guppy/info] Read '0cbeab7b-1359-4e6c-a41a-25038413f31a' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.133157 [guppy/info] Read '0d2a3f70-291c-4c48-b369-7ddcb6480e32' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.137494 [guppy/info] Read '0d3dd436-f4e5-46af-a3cd-89af33c999cf' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.138633 [guppy/info] Read '0d452414-0dc1-4b1b-91c1-107f9745db40' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.139765 [guppy/info] Read '0df0964c-58a0-4e41-b451-a047f4cbd835' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.140887 [guppy/info] Read '0e1079f1-2c2c-4419-8b76-f424580fda47' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.140941 [guppy/info] Read '0e74fcb3-1302-4ea5-bc1b-8fa6ba6f9315' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.142052 [guppy/info] Read '0e7b46c4-3ba7-4605-bd20-14167c65a628' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.143191 [guppy/info] Read '0e7e411f-1a80-4f6e-91ee-0af8daf339b7' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.145427 [guppy/info] Read '0ef55377-d43e-42c9-8a89-e919b38d6a56' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.148772 [guppy/info] Read '0effca01-5e36-4f42-a584-7f277ba34ad4' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.150965 [guppy/info] Read '0f6e300e-20cc-4076-afc1-3afe9e8c02f2' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.152066 [guppy/info] Read '0fcf5e50-3439-4488-a9ba-5dc09a3492ae' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.153159 [guppy/info] Read '0fd3bb65-f4c5-4de2-b43e-6a2f4789f167' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.155316 [guppy/info] Read '0fddce53-ddb3-428f-aa7b-7b4d559c4206' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.156403 [guppy/info] Read '0fe2a1e4-bbd9-4d3d-b713-e8bce957c98e' from file "zymo_test_2.fast5" has been loaded.
