2021-07-22 22:28:12.484767 [guppy/message] ONT Guppy basecalling software version 5.0.11+2b6dbff, client-server API version 7.0.0
config file:        /opt/ont/guppy/data/dna_r9.4.1_450bps_hac.cfg
input path:         /data/test_zymo/2000
save path:          /data/test_zymo/2000/basecalling
chunk size:         2000
minimum qscore:     9
records per file:   4000
fastq compression:  ON

2021-07-22 22:28:12.485180 [guppy/info] crashpad_handler successfully launched.
2021-07-22 22:28:12.487764 [guppy/info] Connecting to server as 'guppy_basecall_client'
2021-07-22 22:28:12.487988 [guppy/info] connection state: preparing_connection
2021-07-22 22:28:12.488374 [guppy/info] connection state: loading_config
2021-07-22 22:28:12.490715 [guppy/info] connection state: loading_alignment_index
2021-07-22 22:28:12.490739 [guppy/info] connection state: loading_bed_file
2021-07-22 22:28:12.554642 [guppy/info] Read '1373ad42-81ad-430b-8c77-3f93db67471e' from file "zymo_test_2000.fast5" has been loaded.
2021-07-22 22:28:12.554666 [guppy/info] Read '13b404d9-81c9-47a4-8d50-aad22014b5cb' from file "zymo_test_2000.fast5" has been loaded.
2021-07-22 22:28:12.555760 [guppy/info] Read '13d28e91-caa3-4de3-b1b3-c183ab78430b' from file "zymo_test_2000.fast5" has been loaded.
2021-07-22 22:28:12.555792 [guppy/info] Read '13d719cf-a144-4d93-aadd-05dedea3f8fd' from file "zymo_test_2000.fast5" has been loaded.
2021-07-22 22:28:12.555818 [guppy/info] Read '13df6384-4dcf-4408-855d-b79a62434ea0' from file "zymo_test_2000.fast5" has been loaded.
2021-07-22 22:28:12.556912 [guppy/info] Read '14034ee6-0643-4cac-a4b8-02c9ed398ab6' from file "zymo_test_2000.fast5" has been loaded.
2021-07-22 22:28:12.556937 [guppy/info] Read '1492a35d-32f3-4dfb-859a-abc81f04c83c' from file "zymo_test_2000.fast5" has been loaded.
2021-07-22 22:28:12.558024 [guppy/info] Read '14d5aa2a-0441-4536-b673-2fd3022c1e7e' from file "zymo_test_2000.fast5" has been loaded.
2021-07-22 22:28:12.558043 [guppy/info] Read '14e3087b-a888-4ed0-9938-59eb5870d03e' from file "zymo_test_2000.fast5" has been loaded.
2021-07-22 22:28:12.558070 [guppy/info] Read '15628b0c-dab5-4e94-a4d0-234d719fbd0b' from file "zymo_test_2000.fast5" has been loaded.
2021-07-22 22:28:12.559180 [guppy/info] Read '15bec8ee-e417-4ce4-94ac-cd112ecc2556' from file "zymo_test_2000.fast5" has been loaded.
2021-07-22 22:28:12.559204 [guppy/info] Read '15c90e79-40ae-40a7-a502-95b682327bc8' from file "zymo_test_2000.fast5" has been loaded.
2021-07-22 22:28:12.559220 [guppy/info] Read '15dac4bc-74a3-4f68-b4c5-918e186dcfd8' from file "zymo_test_2000.fast5" has been loaded.
2021-07-22 22:28:12.560339 [guppy/info] Read '15e7d397-9093-4490-8da2-af05d12c4328' from file "zymo_test_2000.fast5" has been loaded.
2021-07-22 22:28:12.560395 [guppy/info] Read '15fc2e87-81b2-4d85-ab36-e63b2cc7e90f' from file "zymo_test_2000.fast5" has been loaded.
2021-07-22 22:28:12.560452 [guppy/info] Read '168c07d9-9311-44e6-a847-1f4d2fc4debe' from file "zymo_test_2000.fast5" has been loaded.
2021-07-22 22:28:12.561545 [guppy/info] Read '1696765f-9139-40ac-a7eb-a90eddd12f72' from file "zymo_test_2000.fast5" has been loaded.
2021-07-22 22:28:12.561567 [guppy/info] Read '16a89db4-e871-4060-9e1d-10f5d44787cd' from file "zymo_test_2000.fast5" has been loaded.
2021-07-22 22:28:12.562665 [guppy/info] Read '1742337f-a684-4a76-97d9-eceb8e671521' from file "zymo_test_2000.fast5" has been loaded.
2021-07-22 22:28:12.562694 [guppy/info] Read '174fe808-db37-4ab4-aa61-c829e63896f4' from file "zymo_test_2000.fast5" has been loaded.
2021-07-22 22:28:12.562712 [guppy/info] Read '17e8ccf6-2a66-4d4c-97dd-950123d66c76' from file "zymo_test_2000.fast5" has been loaded.
2021-07-22 22:28:12.563871 [guppy/info] Read '181fc917-44c6-4253-aa8d-8de028119b69' from file "zymo_test_2000.fast5" has been loaded.
2021-07-22 22:28:12.563941 [guppy/info] Read '1832b79a-6e2f-4c89-902a-d9262dc09ffd' from file "zymo_test_2000.fast5" has been loaded.
2021-07-22 22:28:12.563963 [guppy/info] Read '188ee845-29be-4253-b497-ea154ddd8a0b' from file "zymo_test_2000.fast5" has been loaded.
2021-07-22 22:28:12.565132 [guppy/info] Read '18933cf7-9e75-40e1-8a74-544834bee6b1' from file "zymo_test_2000.fast5" has been loaded.
2021-07-22 22:28:12.565195 [guppy/info] Read '190b963a-6aba-459b-b03d-c8bb9a77b42f' from file "zymo_test_2000.fast5" has been loaded.
2021-07-22 22:28:12.565235 [guppy/info] Read '19248e80-a7f0-4129-9a31-9e109fbbfa85' from file "zymo_test_2000.fast5" has been loaded.
2021-07-22 22:28:12.566349 [guppy/info] Read '19498a13-aa54-434a-b720-7888135e0f61' from file "zymo_test_2000.fast5" has been loaded.
2021-07-22 22:28:12.566384 [guppy/info] Read '1a4ada27-b447-48b4-9b56-b92b2e2c57de' from file "zymo_test_2000.fast5" has been loaded.
2021-07-22 22:28:12.566411 [guppy/info] Read '1a74fbba-3187-4d49-8f59-c61a51f3feb3' from file "zymo_test_2000.fast5" has been loaded.
2021-07-22 22:28:12.567600 [guppy/info] Read '1a9bc835-9967-4fdf-b790-6ac417216977' from file "zymo_test_2000.fast5" has been loaded.
2021-07-22 22:28:12.567671 [guppy/info] Read '1ab2ff19-5fea-47f1-8377-8d376627938c' from file "zymo_test_2000.fast5" has been loaded.
2021-07-22 22:28:12.567714 [guppy/info] Read '1b0d3b65-eb58-4a69-830f-03958dc7003b' from file "zymo_test_2000.fast5" has been loaded.
2021-07-22 22:28:12.568835 [guppy/info] Read '1b3f88b7-dcbd-4538-bf5a-9c0a70a04394' from file "zymo_test_2000.fast5" has been loaded.
2021-07-22 22:28:12.568887 [guppy/info] Read '1b553be3-98d9-4c0b-bab1-53b1621e81f8' from file "zymo_test_2000.fast5" has been loaded.
2021-07-22 22:28:12.568922 [guppy/info] Read '1b625e17-ce37-4391-8b12-1ac686e0be56' from file "zymo_test_2000.fast5" has been loaded.
2021-07-22 22:28:12.570063 [guppy/info] Read '1be832a8-4043-4530-9972-f82ef8250d6a' from file "zymo_test_2000.fast5" has been loaded.
2021-07-22 22:28:12.570092 [guppy/info] Read '1c195c04-cdde-4035-9813-042249e37765' from file "zymo_test_2000.fast5" has been loaded.
2021-07-22 22:28:12.571181 [guppy/info] Read '1c54bbb3-b293-4ffb-ac5c-01e514f8d414' from file "zymo_test_2000.fast5" has been loaded.
2021-07-22 22:28:12.571205 [guppy/info] Read '1c809a0e-b28c-43d4-bd96-3bd11ef13af5' from file "zymo_test_2000.fast5" has been loaded.
2021-07-22 22:28:12.571237 [guppy/info] Read '1cb27f0d-482b-42cd-8b4c-9d3eb9f5c14c' from file "zymo_test_2000.fast5" has been loaded.
2021-07-22 22:28:12.572340 [guppy/info] Read '1cc96062-399d-46c5-bae1-62d708d9f398' from file "zymo_test_2000.fast5" has been loaded.
2021-07-22 22:28:12.572369 [guppy/info] Read '1cf2e7e5-10d1-499d-a48d-05338ec05e0a' from file "zymo_test_2000.fast5" has been loaded.
2021-07-22 22:28:12.572388 [guppy/info] Read '1d5d33ee-d637-4b3f-b083-9147948708e0' from file "zymo_test_2000.fast5" has been loaded.
