2021-07-23 10:18:50.726877 [guppy/message] ONT Guppy basecalling software version 5.0.11+2b6dbff, client-server API version 7.0.0
config file:        /opt/ont/guppy/data/dna_r9.4.1_450bps_sketch.cfg
input path:         2000
save path:          sketch_2000
chunk size:         2000
minimum qscore:     7
records per file:   4000

2021-07-23 10:18:50.727324 [guppy/info] crashpad_handler successfully launched.
2021-07-23 10:18:50.729678 [guppy/info] Connecting to server as 'guppy_basecall_client'
2021-07-23 10:18:50.729866 [guppy/info] connection state: preparing_connection
2021-07-23 10:18:50.730222 [guppy/info] connection state: loading_config
2021-07-23 10:18:51.733152 [guppy/info] connection state: loading_alignment_index
2021-07-23 10:18:51.733220 [guppy/info] connection state: loading_bed_file
2021-07-23 10:18:51.776788 [guppy/info] Read '07d85072-3e66-4465-b80d-6834f80a8064' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.776810 [guppy/info] Read '07e1131a-132f-474b-a3a4-f22393a85857' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.776827 [guppy/info] Read '0834571d-3bfa-43c0-b0a4-f6291501d8c6' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.777921 [guppy/info] Read '08ba831c-be6c-4c73-8e7a-721803952b30' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.777946 [guppy/info] Read '09380e75-79fc-49fe-af5f-4c91b609c2a3' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.777963 [guppy/info] Read '093c5e4e-d8e9-4bc5-89a1-4b478879f8de' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.779064 [guppy/info] Read '095a4bf6-f773-4d33-b5f3-c9b2022cc817' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.779091 [guppy/info] Read '096f1f7f-fba8-4d7f-9d52-a63819ba4fb7' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.779108 [guppy/info] Read '09ce8815-1ace-4a45-864e-95be84f91d6f' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.780208 [guppy/info] Read '0a102a09-7819-4f97-83b5-4d963375612f' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.780232 [guppy/info] Read '0a789e6f-f237-48d3-830f-8959c4f47591' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.781320 [guppy/info] Read '0a7b54e7-ecde-4c52-bc27-97792972349c' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.781340 [guppy/info] Read '0b4d4fe7-070f-4651-9322-0fd7d3d1d5b9' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.781365 [guppy/info] Read '0b6259b3-ece7-439f-91b1-2af2ab9e0c57' from file "zymo_test_2000.fast5" has been loaded.
