filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
zymo_test_4000.fast5	e0a078f5-9371-42ee-b7c7-6782fee62063	af307028575a34db3268b4df36412691cb25b558	0	262	1	139.489250	1.000000	666	TRUE	139.489250	666	1.000000	283	10.669560	0.000000	74.842491	3.847044	75.212135	9.322416
zymo_test_4000.fast5	e0e8796a-8ee4-47b3-a88d-d8077ef34122	af307028575a34db3268b4df36412691cb25b558	0	389	3	241.548000	1.000000	666	TRUE	241.906500	427	0.641500	232	9.719689	0.000000	67.847862	9.267879	66.895050	8.809064
zymo_test_4000.fast5	e1047537-e243-475e-b995-676adcf4551e	af307028575a34db3268b4df36412691cb25b558	0	470	3	371.597500	1.000000	666	FALSE	371.737000	573	0.860500	403	6.296288	0.000000	67.498131	9.093013	67.683594	8.757601
zymo_test_4000.fast5	e175ca67-7010-4152-b544-f105deb84695	af307028575a34db3268b4df36412691cb25b558	0	188	1	402.457500	1.000000	666	TRUE	402.541500	610	0.916000	275	10.742763	0.000000	70.295982	7.694088	69.288658	9.159977
zymo_test_4000.fast5	e194bbca-110d-45c0-88d5-c4c21ffd7614	af307028575a34db3268b4df36412691cb25b558	0	416	1	126.048000	1.000000	666	TRUE	126.286500	507	0.761500	258	9.509852	0.000000	66.973541	8.568416	67.948494	8.878154
zymo_test_4000.fast5	e19d75bf-79e0-4402-b7ed-ea64a54b2be7	af307028575a34db3268b4df36412691cb25b558	0	197	3	416.857000	1.000000	666	TRUE	417.151000	470	0.706000	264	9.631553	0.000000	67.847862	7.344357	65.857948	8.538037
zymo_test_4000.fast5	e1a6e7dd-c872-4ba2-9185-e8e6d8db6c8b	af307028575a34db3268b4df36412691cb25b558	0	500	1	229.534250	0.882000	588	FALSE	229.724750	461	0.691500	287	6.877802	0.000000	68.372459	8.743281	68.481415	8.843542
zymo_test_4000.fast5	e1c98730-3a88-42fa-97e2-7a366e12e851	af307028575a34db3268b4df36412691cb25b558	0	413	3	106.908750	1.000000	666	TRUE	107.010750	598	0.898000	311	9.239352	0.000000	68.897057	9.967341	69.018517	8.878154
zymo_test_4000.fast5	e241c7f7-0924-4311-a727-be2466774fef	af307028575a34db3268b4df36412691cb25b558	0	94	1	404.806750	1.000000	666	TRUE	404.967250	559	0.839500	376	9.393826	0.000000	68.722191	8.568416	66.895050	8.672493
zymo_test_4000.fast5	e290d653-57e6-4349-a06e-21c04562615b	af307028575a34db3268b4df36412691cb25b558	0	292	2	112.835500	1.000000	666	TRUE	113.066500	512	0.769000	280	9.372094	0.000000	64.350555	9.093013	66.115692	8.740512
zymo_test_4000.fast5	e290f4cf-af4a-4ac4-b233-f456bd318122	af307028575a34db3268b4df36412691cb25b558	0	422	4	254.982500	1.000000	666	TRUE	255.039500	628	0.943000	156	8.908660	0.000000	75.716820	11.191401	77.903336	9.580843
zymo_test_4000.fast5	e294eba5-5c74-4520-853f-003cb097ac1f	af307028575a34db3268b4df36412691cb25b558	0	93	2	287.907500	1.000000	666	TRUE	287.984000	615	0.923500	173	9.441442	0.000000	72.569237	8.218685	72.330788	8.912904
zymo_test_4000.fast5	e2bdad4f-2274-4963-90af-5457a56bbfe4	af307028575a34db3268b4df36412691cb25b558	0	182	2	37.577250	1.000000	666	TRUE	37.655250	614	0.922000	281	7.981218	0.000000	71.345177	8.393551	71.209412	9.106463
zymo_test_4000.fast5	e37e8c0d-630e-4a08-a261-b8584d7bdc96	af307028575a34db3268b4df36412691cb25b558	0	218	2	32.615000	1.000000	666	TRUE	33.113000	334	0.502000	180	8.106161	0.000000	69.946251	8.218685	71.209412	10.021047
zymo_test_4000.fast5	e3ca57a0-edfe-4f64-a09a-de90e9affb0c	af307028575a34db3268b4df36412691cb25b558	0	252	2	307.413500	1.000000	666	TRUE	307.505000	605	0.908500	289	10.536545	0.000000	71.869774	9.093013	72.613899	9.304227
zymo_test_4000.fast5	e3ec5f0e-3789-4118-9c69-ca09865e0e3c	af307028575a34db3268b4df36412691cb25b558	0	192	3	176.023750	1.000000	666	TRUE	176.023750	666	1.000000	251	11.459091	0.000000	66.099213	1.923522	66.374474	8.774721
zymo_test_4000.fast5	e4486bdc-e3cf-4458-bce7-3a8049211708	af307028575a34db3268b4df36412691cb25b558	0	322	1	8.084250	1.000000	666	FALSE	8.084250	666	1.000000	216	6.304791	0.000000	66.973541	2.622984	67.419716	8.912904
zymo_test_4000.fast5	e45ccc41-a6ac-4e14-9e9b-dad42fd8090a	af307028575a34db3268b4df36412691cb25b558	0	331	1	17.605500	1.000000	666	TRUE	17.788500	544	0.817000	281	10.215637	0.000000	73.093834	8.393551	72.048813	9.304227
zymo_test_4000.fast5	e4d7406c-4ab5-46ec-85f0-71ab6fd9b2cf	af307028575a34db3268b4df36412691cb25b558	0	71	4	307.263500	1.000000	666	TRUE	307.380500	588	0.883000	341	10.142150	0.000000	71.869774	9.967341	72.048813	9.017966
zymo_test_4000.fast5	e4ed433e-b67c-40be-86b5-e08d261d47cc	af307028575a34db3268b4df36412691cb25b558	0	333	2	244.739500	1.000000	666	TRUE	244.978000	507	0.761500	275	9.004600	0.000000	67.847862	8.393551	69.018517	8.706436
zymo_test_4000.fast5	e58a0bf8-1e1d-464a-a72c-2917dc151e22	af307028575a34db3268b4df36412691cb25b558	0	324	4	225.142500	1.000000	666	TRUE	225.172500	646	0.970000	355	10.678183	0.000000	81.487389	10.142207	81.006638	9.788909
zymo_test_4000.fast5	e5b0bf0e-7804-4876-9a69-74551bd92f28	af307028575a34db3268b4df36412691cb25b558	0	330	2	176.243250	1.000000	666	TRUE	176.559750	455	0.683500	258	10.553909	0.000000	72.569237	7.694088	72.613899	9.304227
zymo_test_4000.fast5	e5db6572-bc34-4b2b-9749-ce96d327f72f	af307028575a34db3268b4df36412691cb25b558	0	503	2	281.588000	1.000000	666	TRUE	281.648000	626	0.940000	343	8.666639	0.000000	73.618431	8.568416	72.330788	9.231821
zymo_test_4000.fast5	e6552adf-7492-47aa-852a-944f431b2b6b	af307028575a34db3268b4df36412691cb25b558	0	505	2	107.380000	1.000000	666	TRUE	107.489500	593	0.890500	310	9.452978	0.000000	73.618431	8.743281	73.183411	9.231821
zymo_test_4000.fast5	e65bbb24-8bf8-4347-937a-8f3df0de35b8	af307028575a34db3268b4df36412691cb25b558	0	189	4	161.355250	1.000000	666	TRUE	161.458750	597	0.896500	166	10.959712	0.000000	60.503510	8.393551	61.626602	8.275350
zymo_test_4000.fast5	e6eb333f-1d22-42c9-9074-092cd4148565	af307028575a34db3268b4df36412691cb25b558	0	176	2	106.600750	1.000000	666	TRUE	106.837750	508	0.763000	294	8.611640	0.000000	64.525421	7.344357	64.332336	8.488158
zymo_test_4000.fast5	e77993a3-1db7-462a-8ad3-6f016f430a82	af307028575a34db3268b4df36412691cb25b558	0	153	4	108.791000	1.000000	666	TRUE	108.791000	666	1.000000	173	10.378847	0.000000	62.951630	1.573791	63.582851	8.655571
zymo_test_4000.fast5	e7ad31fb-1a1b-4a03-a7f6-416fda06d929	af307028575a34db3268b4df36412691cb25b558	0	280	3	125.880500	1.000000	666	TRUE	126.017000	575	0.863500	319	9.573236	0.000000	73.268700	8.218685	72.330788	9.487736
zymo_test_4000.fast5	e7ce3131-f83d-42b6-a8f7-c0f988f29023	af307028575a34db3268b4df36412691cb25b558	0	451	1	309.096000	1.000000	666	TRUE	309.304500	527	0.791500	307	10.875519	0.000000	70.295982	9.093013	72.898087	9.487736
zymo_test_4000.fast5	e882ec5e-6f36-4034-bfb3-b1513a3a2c55	af307028575a34db3268b4df36412691cb25b558	0	25	1	260.701750	1.000000	666	TRUE	260.745250	637	0.956500	378	7.959663	0.000000	70.995445	8.218685	74.046059	9.693780
zymo_test_4000.fast5	e88495d7-e4d7-4134-8dce-85db5f2b80a4	af307028575a34db3268b4df36412691cb25b558	0	42	1	181.466250	1.000000	666	TRUE	181.866750	399	0.599500	183	7.724079	0.000000	65.224884	6.994625	64.332336	8.554730
